address,type,free,reserved,staked,delegated,unclaimed,total,multiplier,final,participation
tgFGarhxkyEr9kwpnw5NZoaEnbmw6W3cNgs2NAX3sqERRKYjZ,substrate,44134444109022669215,0,0,0,0,44134444109022669215,1.00,44134444109022666752,-
tgDNHaHKuTA1XjNY2Z8m9uA4jBtWwXwbfTWMKg4c5X4KXYRDy,substrate,55616439999999997116416,0,0,0,0,55616439999999997116416,1.00,55616439999999997116416,-
tgEzkW6iihP1H9RCd2urGKPpdnZZKNasAmXZPEZyp1ksnHV7G,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgFR2oQxG9W7YfhJckXm1ect5qa4pJ3Am8aaW32mdVT86e1o4,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgD6V29uQH92KnqGeyFkZC2wkrsBgVtqF2dnVD9dZWQ2RfPa6,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgCZ5PbrGutGruMcwGUvFB6EqkwVkr3QoGf4zjcbqCy3Dna2W,substrate,773669281700597071872,0,0,0,0,773669281700597071872,1.00,773669281700597071872,-
tgGTBgXF8sfRCP7HGrhCa3ZdCqJcsCJ2TKBPCYcst6z9f4vTt,substrate,29715666161936483596,0,0,0,0,29715666161936483596,1.00,29715666161936482304,-
tgFjKrdUs8TzPHN8BgUfEHf4pBorhXTZKgrXogjjwjJiGVzSu,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgCUApbSexkjg6t6YLT6AD7rMnW81vBZwBaNRVjQ3AHh7PUkE,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgCLvxEZAAqAxKsmdnkYFvvbUB1mjFSHpJw3aa3LVKYhASWdN,substrate,3973496458974713928,0,0,0,0,3973496458974713928,1.00,3973496458974713856,-
tgEbyZEiE6gAYWCX5hziZWLurZjjKxjKC5gjHvQmbS9mbsiZG,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgEzmYxc6Tq7cynpE5LHgvTHWnJeQccWgGeghvocU4ig7LPfc,substrate,167234197012025457869648,10000000000000000000,50012344159279270546462,100000000000000000000,0,167244197012025457869648,1.00,167244197012025464848384,N+O+D
tgCkcfUbjvR7hANzbXQrgxkZoCjsKg21cZEGJpZVaK38kjwFo,substrate,2233977560798620441664,0,0,0,0,2233977560798620441664,1.00,2233977560798620549120,-
tgDYzUvoc8eQq381QNbnmBdPyD1F2m27GHajLw6h7MsVFFSpb,substrate,18180210369129655729,0,18180210369129655729,0,0,18180210369129655729,1.00,18180210369129656320,-
tgDvo27vz5hYJUkXnFgZ9PM8TUQ38HFjXXVjCRDvJkX73nKdE,substrate,5556157135305109115,0,5556157135305109115,0,0,5556157135305109115,1.00,5556157135305109504,N
tgH4ymsGMA7bPKqPZwNykZmeufnLusu2gqqaqo4LLXshG7yfV,substrate,173781148163433922560,0,0,0,0,173781148163433922560,1.00,173781148163433922560,-
tgCAamHLCmWzfDdsQBe9hVb3tw74jFmtZ8b6jbM9h3ebinQVw,substrate,3248736430865158680980,0,0,0,0,3248736430865158680980,1.00,3248736430865158504448,-
tgDws5Ww3ypuEv3tBi6tEXsDUyxKxUYKnqSsYDLbHZRR8FjfP,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgCoRYgNtvRAgxnRa48kmtxV7ayTjPzroG4abeyGUWyKHfRKQ,substrate,370729330515790421413,0,0,0,0,370729330515790421413,1.00,370729330515790397440,-
tgESRfUwSzo4g5G7o1DHfaYBVsoWEVwnhoPfd9hYsQrWJwwMu,substrate,10000000000000000000,0,10000000000000000000,0,0,10000000000000000000,1.00,10000000000000000000,N
tgH3GyBi371qURfyyiRBGhSYaS7eiBghtkvugV1WJGu4GAmcm,substrate,102016116490895622144,0,0,0,0,102016116490895622144,1.00,102016116490895622144,-
tgCEAxv6CYgGmXfkNvnuyT83ipC8wiu1svn2DemL6JKkTa5Qg,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgEgt9CmXRNqFpfukMHvb35a66D76NutSuSKMr6YjbnVsFMQv,substrate,320508355346545796949,0,0,0,0,320508355346545796949,1.00,320508355346545770496,-
tgCKkfJKnP9D84otow884VTfMnH5kfN2kC2QZ4yu65KjvKzCN,substrate,10000000000,0,0,0,0,10000000000,1.00,10000000000,-
tgDZW9fpiTKGHooFKhUzmsXjK4X7DT7CEcGVGZfXh2Sg2so5c,substrate,2271935542884907806322,0,2271590937554775541108,0,0,2271935542884907806322,1.00,2271935542884907876352,N
tgFQVezWfriiGTECMjsNQx1H9VcrAULAunswvJDf3uoz2VKfi,substrate,3102543420864186571832,0,0,0,0,3102543420864186571832,1.00,3102543420864186548224,-
tgGRV9xRfWGVih3AMf4yA7zmonK7fVZ9Czj9wtv31haireggv,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgCZdXhuSaR98erL57jKYCReKuAJDLZtR7sNKGgwfebjG1kSs,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
